Year;Date;Month;Comments
2017;February 2017;February;10231
2017;March 2017;March;13854
2017;April 2017;April;12261
2017;May 2017;May;13778
2017;June 2017;June;19116
2017;July 2017;July;10484
2017;August 2017;August;10489
2017;September 2017;September;14025
2017;October 2017;October;8121
2017;November 2017;November;9594
2017;December 2017;December;9278
2018;January 2018;January;8406
2018;February 2018;February;8316
2018;March 2018;March;8241
2018;April 2018;April;8692
2018;May 2018;May;9358
2018;June 2018;June;9329
2018;July 2018;July;12036
2018;August 2018;August;15712
2018;September 2018;September;11301
2018;October 2018;October;20997
2018;November 2018;November;22846
2018;December 2018;December;23750
2019;January 2019;January;22014
2019;February 2019;February;26745
2019;March 2019;March;26459
2019;April 2019;April;26961
2019;May 2019;May;36127
2019;June 2019;June;35876
2019;July 2019;July;32755
2019;August 2019;August;38248
2019;September 2019;September;52601
2019;October 2019;October;38468
2019;November 2019;November;30176
2019;December 2019;December;36428
2020;January 2020;January;45155
2020;February 2020;February;26978
2020;March 2020;March;24452
2020;April 2020;April;18402
2020;May 2020;May;16552
2020;June 2020;June;16643
2020;July 2020;July;19311
2020;August 2020;August;21551
2020;September 2020;September;32501
2020;October 2020;October;25261
2020;November 2020;November;23181
2020;December 2020;December;17363
2021;January 2021;January;18798
2021;February 2021;February;21287
2021;March 2021;March;20626
2021;April 2021;April;20682
2021;May 2021;May;18499
2021;June 2021;June;23678
2021;July 2021;July;36541
2021;August 2021;August;40194
2021;September 2021;September;32177
2021;October 2021;October;30009
2021;November 2021;November;32529
2021;December 2021;December;29376
2022;January 2022;January;30106
2022;February 2022;February;22865
2022;March 2022;March;24088
2022;April 2022;April;27728
2022;May 2022;May;28782
2022;June 2022;June;28122
2022;July 2022;July;40985
2022;August 2022;August;32410
